,Admin2,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,County,State,TotalPop,Transit,WorkAtHome
2457,Sanilac,Michigan,43.42406072,-82.82055898,57,6,0,Sanilac,Michigan,42014.0,0.9,7.2
2458,Santa Barbara,California,34.65329488,-120.0188492,4323,31,0,Santa Barbara,California,435850.0,3.3,5.5
2459,Santa Clara,California,37.23104908,-121.6970462,6725,180,0,Santa Clara,California,1868149.0,3.9,4.6
2460,Santa Cruz,Arizona,31.52508998,-110.8479088,2208,31,0,Santa Cruz,Arizona,47073.0,0.2,5.3
2461,Santa Cruz,California,37.05580291,-122.0066524,600,3,0,Santa Cruz,California,269278.0,2.9,7.3
2462,Santa Fe,New Mexico,35.50708973,-105.9774716,352,3,0,Santa Fe,New Mexico,147108.0,1.1,8.1
2463,Santa Rosa,Florida,30.69341450000001,-87.02458128,1412,11,0,Santa Rosa,Florida,161021.0,0.1,4.7
2464,Sarasota,Florida,27.18546175,-82.33174248,3334,100,0,Sarasota,Florida,392038.0,0.8,5.8
2465,Saratoga,New York,43.10904162,-73.86653895,616,17,0,Saratoga,New York,223774.0,0.9,5.4
2467,Sarpy,Nebraska,41.11314181,-96.11156432,1405,8,0,Sarpy,Nebraska,169192.0,0.2,3.1
2468,Sauk,Wisconsin,43.42574087,-89.94966132,190,3,0,Sauk,Wisconsin,62992.0,0.2,3.7
2469,Saunders,Nebraska,41.227810299999994,-96.63773905,97,2,0,Saunders,Nebraska,20913.0,0.2,5.5
2470,Sawyer,Wisconsin,45.87931905,-91.14504927,15,0,0,Sawyer,Wisconsin,16483.0,1.1,5.6
2471,Schenectady,New York,42.81668777,-74.05278291,883,37,0,Schenectady,New York,154796.0,4.0,3.4
2472,Schleicher,Texas,30.89740592,-100.5384842,25,1,0,Schleicher,Texas,3224.0,0.7,6.0
2473,Schley,Georgia,32.2654021,-84.31258912,34,1,0,Schley,Georgia,5074.0,0.3,0.8
2474,Schoharie,New York,42.58831742,-74.44339029999998,62,0,0,Schoharie,New York,31913.0,1.5,4.2
2476,Schuyler,Illinois,40.1571798,-90.61114163,14,0,0,Schuyler,Illinois,7311.0,1.0,5.0
2478,Schuyler,New York,42.39184015,-76.8773299,15,0,0,Schuyler,New York,18410.0,0.8,3.5
2479,Schuylkill,Pennsylvania,40.70497338,-76.2150785,779,48,0,Schuylkill,Pennsylvania,146360.0,0.6,2.7
2480,Scioto,Ohio,38.80270163,-82.98907345,80,0,0,Scioto,Ohio,78017.0,0.3,2.5
2481,Scotland,Missouri,40.45214695,-92.14709064,11,1,0,Scotland,Missouri,4873.0,0.0,14.3
2482,Scotland,North Carolina,34.8386299,-79.4757978,174,2,0,Scotland,North Carolina,35932.0,0.2,3.4
2483,Scott,Arkansas,34.85588887,-94.0632176,17,0,0,Scott,Arkansas,10870.0,0.2,6.0
2485,Scott,Indiana,38.68672078,-85.74627859,166,9,0,Scott,Indiana,23783.0,0.0,2.5
2486,Scott,Iowa,41.63935978,-90.61959493,1122,10,0,Scott,Iowa,169994.0,0.8,3.7
2487,Scott,Kansas,38.48222076,-100.90665390000001,19,0,0,Scott,Kansas,4928.0,0.0,2.4
2488,Scott,Kentucky,38.29622293,-84.5816631,131,0,0,Scott,Kentucky,50178.0,0.4,3.7
2489,Scott,Minnesota,44.6490231,-93.53340251,923,4,0,Scott,Minnesota,137322.0,1.8,5.0
2490,Scott,Mississippi,32.406704100000006,-89.53789439,837,15,0,Scott,Mississippi,28293.0,0.0,2.3
2491,Scott,Missouri,37.05588075,-89.56474493,219,12,0,Scott,Missouri,39061.0,0.2,4.1
2492,Scott,Tennessee,36.42325673,-84.50360494,30,0,0,Scott,Tennessee,22043.0,0.1,3.1
2493,Scott,Virginia,36.71466456,-82.60171704,16,2,0,Scott,Virginia,22570.0,0.1,2.1
2494,Scotts Bluff,Nebraska,41.85070896,-103.70809859999999,244,5,0,Scotts Bluff,Nebraska,36684.0,0.3,3.7
2495,Screven,Georgia,32.74976524,-81.60779441,121,8,0,Screven,Georgia,14206.0,0.5,1.3
2496,Scurry,Texas,32.74613808,-100.91626640000001,350,1,0,Scurry,Texas,17238.0,0.9,1.8
2497,Searcy,Arkansas,35.9109364,-92.69936482,18,0,0,Searcy,Arkansas,7965.0,0.4,3.4
2498,Sebastian,Arkansas,35.19605503,-94.27162713,929,8,0,Sebastian,Arkansas,127273.0,0.4,1.9
2500,Sedgwick,Kansas,37.6842718,-97.4608198,2219,28,0,Sedgwick,Kansas,506529.0,0.5,3.1
2501,Seminole,Florida,28.7158582,-81.24060348,4536,25,0,Seminole,Florida,437346.0,0.6,6.1
2502,Seminole,Georgia,30.93464824,-84.86823924,57,2,0,Seminole,Georgia,8769.0,0.2,3.7
2503,Seminole,Oklahoma,35.16478725,-96.61686741,78,3,0,Seminole,Oklahoma,25481.0,0.1,3.7
2504,Seneca,New York,42.78081007,-76.82497064,74,0,0,Seneca,New York,35144.0,0.5,3.9
2505,Seneca,Ohio,41.12351311,-83.12783209,43,2,0,Seneca,Ohio,55929.0,0.3,2.3
2506,Sequatchie,Tennessee,35.36979721,-85.41022136,53,0,0,Sequatchie,Tennessee,14592.0,0.4,3.8
2507,Sequoyah,Oklahoma,35.49447108,-94.75463785,70,3,0,Sequoyah,Oklahoma,41464.0,0.4,2.8
2508,Sevier,Arkansas,33.99780401,-94.2424869,819,9,0,Sevier,Arkansas,17268.0,0.2,3.4
2509,Sevier,Tennessee,35.78077323,-83.52244332,942,4,0,Sevier,Tennessee,93617.0,0.7,4.6
2510,Seward,Kansas,37.19324632,-100.85072009999999,1097,2,0,Seward,Kansas,23274.0,0.2,3.5
2511,Seward,Nebraska,40.87241834,-97.139673,52,1,0,Seward,Nebraska,16998.0,0.4,5.4
2513,Shannon,Missouri,37.15772072,-91.40190382,29,0,0,Shannon,Missouri,8317.0,0.2,4.9
2514,Sharkey,Mississippi,32.88149103,-90.8159538,52,0,0,Sharkey,Mississippi,4805.0,1.7,0.4
2515,Sharp,Arkansas,36.16258158,-91.47819342,69,5,0,Sharp,Arkansas,17055.0,0.0,3.5
2516,Shasta,California,40.76391419,-122.0396884,203,6,0,Shasta,California,178942.0,0.7,5.5
2517,Shawano,Wisconsin,44.78902246,-88.76443896,101,0,0,Shawano,Wisconsin,41563.0,0.1,6.5
2518,Shawnee,Kansas,39.04100763,-95.75572640000001,1066,13,0,Shawnee,Kansas,178792.0,0.7,2.9
2519,Sheboygan,Wisconsin,43.72099677,-87.94579284,312,4,0,Sheboygan,Wisconsin,115226.0,0.4,3.2
2520,Shelby,Alabama,33.26879845,-86.66232561,1820,26,0,Shelby,Alabama,203530.0,0.2,4.9
2521,Shelby,Illinois,39.39133527,-88.80611122,21,1,0,Shelby,Illinois,22115.0,0.2,5.8
2522,Shelby,Indiana,39.52305623,-85.79158570000001,462,25,0,Shelby,Indiana,44441.0,0.2,2.7
2523,Shelby,Iowa,41.6850066,-95.31015553,121,0,0,Shelby,Iowa,11992.0,0.7,6.5
2524,Shelby,Kentucky,38.21476019,-85.194223,577,20,0,Shelby,Kentucky,44290.0,0.1,3.8
2526,Shelby,Ohio,40.33163494,-84.20258189,78,4,0,Shelby,Ohio,49067.0,0.2,2.6
2527,Shelby,Tennessee,35.1864775,-89.89692423,14447,229,0,Shelby,Tennessee,937750.0,1.5,2.8
2528,Shelby,Texas,31.79211404,-94.14550696,303,14,0,Shelby,Texas,25725.0,0.7,4.1
2529,Shenandoah,Virginia,38.85905135,-78.56813762,616,35,0,Shenandoah,Virginia,42724.0,0.3,3.6
2530,Sherburne,Minnesota,45.44447208,-93.77617511,371,5,0,Sherburne,Minnesota,90401.0,1.4,4.3
2535,Sheridan,Wyoming,44.79048913,-106.8862389,33,0,0,Sheridan,Wyoming,29738.0,0.2,5.5
2539,Sherman,Texas,36.27751473,-101.8933156,33,0,0,Sherman,Texas,3066.0,0.4,3.2
2540,Shiawassee,Michigan,42.95392800000001,-84.14585902,285,28,0,Shiawassee,Michigan,69113.0,0.4,4.0
2542,Sibley,Minnesota,44.5796592,-94.23164924,58,2,0,Sibley,Minnesota,15021.0,0.4,8.2
2544,Sierra,New Mexico,33.13028233,-107.1925893,16,0,0,Sierra,New Mexico,11615.0,0.1,5.2
2545,Silver Bow,Montana,45.90018933,-112.6620092,25,0,0,Silver Bow,Montana,34549.0,0.4,3.5
2546,Simpson,Kentucky,36.74058474,-86.58047435,90,3,0,Simpson,Kentucky,17704.0,0.2,1.9
2547,Simpson,Mississippi,31.91282117,-89.91716179,461,3,0,Simpson,Mississippi,27401.0,0.4,1.4
2548,Sioux,Iowa,43.08221074,-96.1767568,515,0,0,Sioux,Iowa,34509.0,0.5,10.6
2550,Sioux,North Dakota,46.11323337,-101.04401490000001,38,0,0,Sioux,North Dakota,4380.0,0.6,12.0
2551,Siskiyou,California,41.59198861,-122.54074340000001,43,0,0,Siskiyou,California,43895.0,0.7,8.0
2552,Skagit,Washington,48.48171488,-121.766131,627,17,0,Skagit,Washington,119343.0,1.1,5.6
2553,Skamania,Washington,46.02408726,-121.91644029999999,34,0,0,Skamania,Washington,11243.0,0.2,9.4
2556,Smith,Mississippi,32.01744532,-89.50644846,261,12,0,Smith,Mississippi,16257.0,1.2,2.5
2557,Smith,Tennessee,36.25359775,-85.95411046,187,2,0,Smith,Tennessee,19136.0,0.0,2.6
2558,Smith,Texas,32.37474036,-95.27175679999999,1441,7,0,Smith,Texas,217552.0,0.3,3.1
2559,Smyth,Virginia,36.84455636,-81.53344948,45,1,0,Smyth,Virginia,31734.0,0.9,2.4
2560,Snohomish,Washington,48.04615983,-121.7170703,4072,177,0,Snohomish,Washington,746653.0,5.5,5.1
2561,Snyder,Pennsylvania,40.77129231,-77.06840691,74,2,0,Snyder,Pennsylvania,40046.0,0.4,6.9
2562,Socorro,New Mexico,34.00715494,-106.9298354,65,5,0,Socorro,New Mexico,17494.0,0.1,3.3
2563,Solano,California,38.26827353,-121.9357113,2313,31,0,Solano,California,425753.0,2.8,3.8
2564,Somerset,Maine,45.51229767,-69.95995554,31,0,0,Somerset,Maine,51577.0,0.1,4.0
2565,Somerset,Maryland,38.1163542,-75.75118623,103,3,0,Somerset,Maryland,25980.0,1.2,4.7
2566,Somerset,New Jersey,40.56465737,-74.61683016,5036,551,0,Somerset,New Jersey,330604.0,4.7,5.7
2567,Somerset,Pennsylvania,39.97172723,-79.02699593,84,1,0,Somerset,Pennsylvania,76617.0,0.1,4.6
2568,Somervell,Texas,32.22236802,-97.77403489,30,0,0,Somervell,Texas,8608.0,0.5,1.3
2569,Sonoma,California,38.52746429,-122.88625060000001,1886,16,0,Sonoma,California,495078.0,1.9,6.5
2570,Southampton,Virginia,36.72231125,-77.10642712,186,11,0,Southampton,Virginia,18410.0,0.3,2.6
2573,Spalding,Georgia,33.26310031,-84.28013991,590,33,0,Spalding,Georgia,63873.0,0.4,1.7
2574,Spartanburg,South Carolina,34.92960077,-81.99225984,2648,57,0,Spartanburg,South Carolina,291240.0,0.3,2.6
2575,Spencer,Indiana,38.01519732,-87.0079644,62,1,0,Spencer,Indiana,20856.0,0.1,3.6
2576,Spencer,Kentucky,38.03223971,-85.32749335,52,0,0,Spencer,Kentucky,17577.0,0.2,1.9
2577,Spink,South Dakota,44.93837606,-98.34626602,14,0,0,Spink,South Dakota,6570.0,0.0,11.8
2578,Spokane,Washington,47.62113146,-117.4046494,2210,41,0,Spokane,Washington,480832.0,2.6,5.4
2579,Spotsylvania,Virginia,38.18574462,-77.655399,1088,32,0,Spotsylvania,Virginia,127691.0,2.8,4.2
2580,St. Bernard,Louisiana,29.87761636,-89.51887093,738,24,0,St. Bernard,Louisiana,42858.0,1.4,1.4
2581,St. Charles,Louisiana,29.90709658,-90.35555967,903,49,0,St. Charles,Louisiana,52639.0,0.0,2.0
2582,St. Charles,Missouri,38.77875681,-90.66662425,1437,79,0,St. Charles,Missouri,374805.0,0.2,4.8
2583,St. Clair,Alabama,33.71902176,-86.31029372,646,3,0,St. Clair,Alabama,85864.0,0.2,3.5
2584,St. Clair,Illinois,38.46996033,-89.93063427,2386,145,0,St. Clair,Illinois,267029.0,4.3,3.2
2585,St. Clair,Michigan,42.92655373,-82.67937954,615,53,0,St. Clair,Michigan,160429.0,0.6,2.8
2587,St. Croix,Wisconsin,45.03437474,-92.45000068,294,2,0,St. Croix,Wisconsin,86118.0,0.5,5.5
2588,St. Francis,Arkansas,35.02201976,-90.74828138,920,3,0,St. Francis,Arkansas,27345.0,0.1,2.4
2589,St. Francois,Missouri,37.81214171,-90.47598685,173,2,0,St. Francois,Missouri,66010.0,0.0,1.3
